Customer Id	Master Customer Cd	Master Customer Nm	Addr1	City	State	Zip	Customer Integration Customer Class Dsc	trauma_ctr_flg	Customer Class Dsc
B3IZAR	N055B3IZAR	IZARD REGIONAL MEDICAL CENTER, LLC					Hospital                                	N	Hospital Customer
STJSEL	N040STJSEL	ST JOSEPH HOSPITAL ELGIN					Hospital                                	Y	Hospital Customer
PORCOM	N021PORCOM	PORTLAND COMMUNITY COLLEGE	705 N KILLINGSWORTH	PORTLAND	OR	97217	Hospital                                	N	Hospital in Region
CSUNIV	N088CSUNIV	CALIFORNIA STATE UNIV SAN BERNARDINO	5500 UNIVERSITY PARKWAY	SAN BERNARDINO	CA	92407	Other                                   	N	EO-Hub Accts
33400 	N019033400	LINCOLN MEDICAL CENTER					Hospital                                	N	Hospital Customer
C00003	N042C00003	MENTOR HOSPITAL					Hospital                                	N	Hospital Customer
B6MNDN	N009B6MNDN	KEARNEY COUNTY COMMUNITY HOSPITAL	727 EAST 1ST STREET	MINDEN	NE	68959	Hospital                                	N	Hospital Customer
B3ATLC	N009B3ATLC	CASS COUNTY MEMORIAL HOSPITAL	1501 EAST 10TH STREET	ATLANTIC	IA	50022	Hospital                                	N	Hospital Customer
B2MMBL	N011B2MMBL	MEMORIAL HOSPITAL-BELLEVILLE	4500 MEMORIAL DRIVE	BELLEVILLE	IL	62226-5399	Hospital                                	N	Hospital Customer
NNJCHH	N022NNJCHH	CHRIST HOSPITAL	176 PALISADE AVENUE	JERSEY CITY	NJ	07306	Hospital                                	N	Hospital Customer
13003 	N02913003	CHESAPEAKE REGIONAL MEDICAL CENTER	736 N BATTLEFIELD BLVD	CHESAPEAKE	VA	23320	Hospital                                	N	Hospital Customer
B18103	N002B18103	STAFFORD COUNTY HOSPITAL	502 S BUCKEYE	STAFFORD	KS	67578	Hospital                                	N	Hospital Customer
040000	N019040000	SKYLINE MEDICAL CENTER	245-B GREAT CIRCLE RD	NASHVILLE	TN	37228	Hospital                                	N	Hospital Customer
BXTR  	N600PLAS	ARCLAB-VN PLASMA SERVICES	ONE BAXTER PARKWAY	DEERFIELD	IL	60015	Fractionator                            	N	ML FRAC
7343  	N0047343	EXETER HOSPITAL	5 ALUMNI DRIVE	EXETER	NH	03833	Hospital                                	N	Hospital in Region
B1SNTA	N084B1SNTA	KAISER SAN JOSE MEDICAL CENTER	PO BOX 214269	SACRAMENTO	CA	95821	Hospital                                	N	Hospital Customer
000   	N055B2ARSH	ARKANSAS SURGICAL HOSPITAL					Hospital                                	N	Hospital Customer
20010 	N02920010	ECU HEALTH	2100 STANTONSBURG ROAD	GREENVILLE	NC	27834	Hospital                                	Y	Hospital Customer
B3HAMB	N009B3HAMB	GRAPE COMMUNITY HOSPITAL	2959 US HIGHWAY 275	HAMBURG	IA	51640-5052	Hospital                                	N	Hospital Customer
KIM   	N022KIM	MONMOUTH MEDICAL CENTER, SOUTHERN CAMPUS	PO BOX 519	WEST LONG BRANCH	NJ	07764	Hospital                                	N	Hospital in Region
B6PNOR	N003B6PNOR	PIEDMONT COLUMBUS REGIONAL NORTHSIDE HOS	100 FRIST COURT	COLUMBUS	GA	31909	Hospital                                	N	Hospital Customer
FBC   	N022FBC	JEFFERSON BUCKS HOSPITAL	PO BOX 63289	PHILADELPHIA	PA	19114	Hospital                                	Y	Hospital in Region
S98IMC	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	5121 SOUTH COTTONWOOD STREET	MURRAY	UT	84157	Hospital                                	N	External Blood Bank Customers
9710  	N0049710	HENRY HEYWOOD HOSPITAL	242 GREEN STREET	GARDNER	MA	01440	Hospital                                	N	Hospital Customer
000   	N003B1SRMC	SOUTHERN REGIONAL MEDICAL CENTER					Hospital                                	N	Others
WTD   	N022WTD	JEFFERSON WASHINGTON TOWNSHIP HOSPITAL	PO BOX 5085	CHERRY HILL	NJ	08034-5085	Hospital                                	N	Hospital in Region
1720  	N0041720	SAINT VINCENT HOSPITAL	123 SUMMER STREET	WORCESTER	MA	01608	Hospital                                	N	Hospital in Region
000   	N011B2OLAN	ANDERSON HOSPITAL					Hospital                                	N	Hospital Customer
B8STFR	N055B8STFR	SAINT FRANCIS HOSPITAL-MEMPHIS	5959 PARK AVENUE	MEMPHIS	TN	38119	Hospital                                	N	Hospital Customer
000   	N053B1PROV	PROVIDENCE HOSPITAL					Hospital                                	N	Hospital Customer
UNMH  	N088UNMH	MINUSTAH LOGISTIC BASE AT PORT-AU-PRINCE	UNITED NATIONS INTEGRATED OFFICE IN HAITI	PORT-AU-PRINCE		99999	Other                                   	N	EO-Hub Accts
000   	N036B1WILS	MCLEOD HEALTH DARLINGTON					Hospital                                	N	Hospital Customer
1526  	N0041526	LAHEY HOSPITAL & MEDICAL CENTER					Hospital                                	Y	Hospital in Region
000   	N088WUCSRB	WASHINGTON UNIVERSITY SCHOOL OF MEDICINE					Other                                   	N	Researchers
C00175	N042C00175	AULTMAN HOSPITAL	2600 SIXTH STREET SW	CANTON	OH	44710	Hospital                                	Y	Hospital Customer
E63ALV	N006E63ALV	UC SAN DIEGO EAST CAMPUS	PO BOX 33268	SAN DIEGO	CA	92163	Hospital                                	N	Hospital Customer
000   	N003B1SPAL	WELLSTAR SPALDING REGIONAL HOSPITAL					Hospital                                	N	Hospital Customer
S98SVH	N020S98SVH	SEVIER VALLEY HOSPITAL-RICHFIELD	1100 NORTH MAIN STREET	RICHFIELD	UT	84701-1843	Hospital                                	N	Hospital Customer
B8BMTP	N055B8BMTP	BAPTIST MEMORIAL HOSPITAL - TIPTON					Hospital                                	N	Hospital Customer
5221  	N0075221	AIR METHODS PRESCOTT					Air Ambulance                           	N	Unclassified
B10539	N002B10539	ASHLAND HEALTH CENTER	PO BOX 188	ASHLAND	KS	67831	Hospital                                	N	Hospital Customer
